benchmark,time_pluto_dynamic,time_pesto_hybrid,time_pesto_classic,time_pluto_static,tile_sizes_pluto_dynamic,tile_sizes_pesto_hybrid,tile_sizes_pesto_classic,tile_sizes_pluto_static,time_pesto,tile_sizes_pesto,problem_size,best_pesto
correlation,0.082149,0.087541,0.085421,0.146423,32x128x16,32:256x4,32:2:128,32x512x32,0.085421,32:2:128,M=2600 N=3000,pesto
covariance,0.080407,0.088707,0.083303,0.149915,32x128x16,32:512x4,32:2:128,32x512x4,0.083303,32:2:128,M=2600 N=3000,pesto
gemm,0.075802,0.072729,0.083055,0.082262,64x256x8,32:128x8,32:16:256,64x256x8,0.072729,32:128:8,NI=2000 NJ=2300 NK=2600,hybrid
gemver,0.012476,0.010948,0.01334,0.012287,16x4,256:32,256:16,4x128,0.010948,256:32,N=4000,hybrid
gesummv,0.005829,0.005364,0.006276,0.005654,128x128,128:256,256:32,4x4,0.005364,128:256,N=2800,hybrid
syr2k,0.214747,0.202518,0.204506,0.272603,8x4x16,32:256x32,128:16:64,64x32x32,0.202518,32:256:32,M=2000 N=2600,hybrid
syrk,0.134864,0.131873,0.137074,0.174797,16x8x8,256:16x16,64:16:256,64x128x8,0.131873,256:16:16,M=2000 N=2600,hybrid
trmm,0.04723,0.044502,0.048007,0.044637,128x32x16,64:256x8,64:8:128,32x64x8,0.044502,64:256:8,M=2000 N=2600,hybrid
2mm,0.09988,0.082776,0.104104,0.100553,64x64x256,32:32x64,32:32:64,64x64x128,0.082776,32:32:64,NI=1600 NJ=1800 NK=2200 NL=2400,hybrid
3mm,0.169627,0.134659,0.161297,0.153423,64x32x64,32:64x32,32:32:64,64x64x32,0.134659,32:64:32,NI=1600 NJ=1800 NK=2000 NL=2200 NM=2400,hybrid
atax,0.002428,0.00268,0.002416,0.002327,32x2,256:4,256:16,8x128,0.002416,256:16,M=1800 N=2200,pesto
bicg,0.002401,0.002721,0.002429,0.002342,128x32,256:4,512:8,8x8,0.002429,512:8,M=1800 N=2200,pesto
mvt,0.009194,0.008297,0.011031,0.008181,256x64,16:64,16:128,256x256,0.008297,16:64,N=4000,hybrid
