benchmark,pluto_dynamic_score,pesto_hybrid_score,pesto_default_score,pluto_static_score,pluto_dynamic_sizes,pesto_hybrid_sizes,pesto_default_sizes,pluto_static_sizes
correlation,247533.20429950455,232286.64511486047,194191.84827243732,138875.758589839,32x128x16,32;256;4,32;8;128,32x512x32
covariance,252592.0031838024,228957.8635282447,187040.4855093151,135477.87212753895,32x128x16,32;512;4,32;8;128,32x512x4
gemm,473399.1187567611,493401.53171362175,432058.27463728853,436223.28657217184,64x256x8,32;128;8,32;16;256,64x256x8
gemver,12824.943892273164,12495.431472081218,11994.302848575711,13022.218605029708,16x4x4,256;32;32,256;16;512,4x128x256
gesummv,5381.43763938926,5847.949291573453,4998.151688973869,5548.001414927485,128x128x32,128;256;16,256;32;16,4x4x4
syr2k,188961.80761547308,200372.22024708914,198424.40466294388,148857.42746778284,8x4x16,32;256;32,128;16;64,64x32x32
syrk,150456.6177779096,153869.1111903119,148030.85413718136,116084.26517617579,16x8x8,256;16;16,64;16;256,64x128x8
trmm,220199.0260427694,231961.63711386194,216635.07405170077,234959.2210198134,128x32x16,64;256;8,64;8;128,32x64x8
2mm,328752.90348418104,396683.0965497245,315413.8169522785,326552.5643193142,64x64x256,32;32;64,32;32;64,64x64x128
3mm,254676.43712380694,320810.3431631009,267828.911883048,281574.4705813339,64x32x64,32;64;32,32;32;64,64x64x32
atax,6523.887973640857,5910.44776119403,5285.285285285285,6807.04770090245,32x2x64,256;4;2,256;128;128,8x128x32
bicg,6597.251145356102,5821.389195148843,5288.814691151921,6763.450042698549,128x32x16,256;4;256,256;16;512,8x8x8
doitgen,5342.580748321075,4827.582055048523,4734.023335387755,6262.338814474209,32x64x8,128;512;8,128;8;512,16x4x16
mvt,6961.0615618881875,6411.540773392106,5801.831202973439,7823.004522674489,256x64x16,16;64;16,16;128;256,256x256x128

