benchmark,time_pluto_static,time_pluto_dynamic,time_pesto_classic,time_pesto_hybrid,tile_sizes_pesto_classic,tile_sizes_pesto_hybrid,tile_sizes_pluto_static,tile_sizes_pluto_dynamic,time_pesto,tile_sizes_pesto,problem_size,best_pesto
correlation,0.149017,0.078224,0.085134,0.085328,32:2:128,32:256x4,32x512x32,32x128x16,0.085134,32:2:128,M=2600 N=3000,pesto
covariance,0.149475,0.075861,0.083604,0.087526,32:2:128,32:256x4,32x512x4,32x128x16,0.083604,32:2:128,M=2600 N=3000,pesto
gemm,0.084365,0.077336,0.078817,0.071483,32:16:256,32:128x8,64x256x8,64x256x8,0.071483,32:128x8,NI=2000 NJ=2300 NK=2600,hybrid
gemver,0.007469,0.008105,0.008283,0.007959,256:16,256:32,4x128,16x4,0.007959,256:32,N=4000,hybrid
gesummv,0.00291,0.003002,0.00294,0.002931,256:32,128:256,4x4,128x128,0.002931,128:256,N=2800,hybrid
syr2k,0.275346,0.216538,0.199447,0.199695,128:16:64,32:256x32,64x32x32,8x4x16,0.199447,128:16:64,M=2000 N=2600,pesto
syrk,0.172965,0.134861,0.13751,0.136408,64:16:256,256:16x16,64x128x8,16x8x8,0.136408,256:16x16,M=2000 N=2600,hybrid
trmm,0.045394,0.050076,0.046765,0.044863,64:8:128,64:256x8,32x64x8,128x32x16,0.044863,64:256x8,M=2000 N=2600,hybrid
2mm,0.104225,0.102958,0.101409,0.080448,32:32:64,32:32x64,64x64x128,64x64x256,0.080448,32:32x64,NI=1600 NJ=1800 NK=2200 NL=2400,hybrid
3mm,0.161008,0.17748,0.157674,0.130819,32:32:64,32:64x32,64x64x32,64x32x64,0.130819,32:64x32,NI=1600 NJ=1800 NK=2000 NL=2200 NM=2400,hybrid
atax,0.001862,0.001977,0.001923,0.001872,256:16,256:4,8x128,32x2,0.001872,256:4,M=1800 N=2200,hybrid
bicg,0.001895,0.002053,0.001956,0.001913,512:8,256:4,8x8,128x32,0.001913,256:4,M=1800 N=2200,hybrid
mvt,0.007218,0.007618,0.007631,0.007386,16:128,16:64,256x256,256x64,0.007386,16:64,N=4000,hybrid
