benchmark,min_rdtsc_pesto,max_rdtsc_pesto,mean_rdtsc_pesto,q1_rdtsc_pesto,median_rdtsc_pesto,q3_rdtsc_pesto,std_rdtsc_pesto,pstd_rdtsc_pesto,gini_rdtsc_pesto,lfence_pesto,ufence_pesto,min_rdtsc_pluto:dynamic,max_rdtsc_pluto:dynamic,mean_rdtsc_pluto:dynamic,q1_rdtsc_pluto:dynamic,median_rdtsc_pluto:dynamic,q3_rdtsc_pluto:dynamic,std_rdtsc_pluto:dynamic,pstd_rdtsc_pluto:dynamic,gini_rdtsc_pluto:dynamic,lfence_pluto:dynamic,ufence_pluto:dynamic,min_rdtsc_pluto:static,max_rdtsc_pluto:static,mean_rdtsc_pluto:static,q1_rdtsc_pluto:static,median_rdtsc_pluto:static,q3_rdtsc_pluto:static,std_rdtsc_pluto:static,pstd_rdtsc_pluto:static,gini_rdtsc_pluto:static,lfence_pluto:static,ufence_pluto:static
2mm*,0.15387499999999998,0.15418199999999999,0.154053125,0.154002,0.15407549999999998,0.154119,8.646601047661505e-05,0.05612739791978581,0.00030934945331359087,0.15382649999999998,0.1542945,2e-06,0.175212,0.1368013125,0.17185450000000002,0.175025,0.17517850000000001,0.07233788786924225,52.87806567589931,0.21781586411131845,0.16686850000000003,0.1801645,0.0,0.18867399999999998,0.1472993125,0.18835975,0.18853050000000002,0.18860575000000002,0.07919068452524333,53.76174754735759,0.21895353434270107,0.18799074999999996,0.18897475000000005
3mm*,0.20662,0.211683,0.20890746875,0.2072255,0.209187,0.21047349999999998,0.0018101181566205584,0.8664688569783643,0.0047388887708807595,0.20235350000000005,0.21534549999999994,0.040717,0.230956,0.18843906249999998,0.14718775,0.2287215,0.22982575,0.0644094271656131,34.18050711519174,0.1596499303488363,0.023230750000000022,0.35378275,0.0,0.19767200000000001,0.16019625,0.19256999999999996,0.193986,0.196364,0.0688670927699191,42.98920403562449,0.17917464028496294,0.1868789999999999,0.2020550000000001
atax,0.0018669999999999997,0.0027819999999999998,0.0023348125,0.0021595,0.0023409999999999998,0.0024992499999999997,0.0002270261371196803,9.72352756890244,0.05479394758679765,0.0016498750000000003,0.0030088749999999994,0.002319,0.002722,0.00253721875,0.0024809999999999997,0.002544,0.002611,9.481790166316939e-05,3.7370802838016783,0.020626131590939897,0.002285999999999999,0.0028060000000000003,0.001833,0.002553,0.0021839375,0.0020512499999999997,0.0022059999999999996,0.0023420000000000003,0.0002139321474432429,9.795708322387563,0.05439036430758664,0.0016151249999999987,0.002778125000000001
bicg,0.001955,0.0026369999999999996,0.00232759375,0.0021214999999999997,0.0023595,0.00252075,0.0002214456693543734,9.513931258595854,0.05352773451660111,0.0015226249999999992,0.0031196250000000004,0.002615,0.002883,0.00273978125,0.0026695,0.0027294999999999997,0.002801,7.593406918441308e-05,2.7715376614250893,0.015570286747345254,0.0024722499999999996,0.00299825,0.0018599999999999999,0.0025050000000000003,0.0022127187500000003,0.00208225,0.0022305,0.0023560000000000005,0.00018312048464101799,8.275813843987988,0.046468304687389675,0.001671624999999999,0.0027666250000000013
correlation,0.13609200000000002,0.14917,0.14420871875000002,0.14349299999999998,0.14520699999999997,0.145706,0.002906759355468702,2.015661314145544,0.010178369123832883,0.14017349999999995,0.14902550000000003,0.140833,0.14874,0.1440444375,0.142053,0.143847,0.14594425,0.002398774148460536,1.6653014792470107,0.009226875408673786,0.13621612500000002,0.15178112499999996,0.075557,0.21628799999999998,0.142247875,0.09725299999999999,0.1409635,0.184636,0.04734509235305551,33.28351467679605,0.18673720576230052,-0.03382150000000002,0.3157105
covariance,0.11003500000000001,0.128116,0.11517678125,0.11429575,0.115316,0.11560474999999999,0.0029308544689811487,2.5446573842166202,0.010827572601031501,0.11233225000000002,0.11756824999999999,0.106935,0.11348100000000001,0.10974165625,0.10785325000000001,0.108945,0.11183200000000001,0.002313359679569186,2.108005071747025,0.011618880549859564,0.101885125,0.11780012500000002,0.038728000000000005,0.189529,0.10792553125,0.06785975,0.1094435,0.1467525,0.04709241872961553,43.63417829329938,0.24517760112079598,-0.05047937500000002,0.26509162500000005
gemm*,0.132195,0.1327,0.13249484374999998,0.13242475,0.13250299999999998,0.13258975,0.00012507600511869353,0.09440065860577579,0.0005234357587028702,0.13217725000000002,0.13283725000000002,0.051709,0.09514399999999999,0.09320878125,0.09441375,0.0945615,0.0947405,0.007588052534951606,8.140920236473542,0.01621912257797599,0.09392362500000001,0.09523062500000001,0.04885,0.094532,0.09256828125,0.09375675,0.093866,0.09416725,0.007983249375772132,8.62417371044375,0.016468280593548337,0.093141,0.09478299999999998
gemver*,0.105975,0.10928700000000001,0.1078819375,0.10689875,0.108038,0.10889625,0.0010960148320605762,1.0159391437149303,0.005594150665861001,0.10390250000000001,0.1118925,0.115512,0.11608500000000001,0.11581156249999999,0.11573725000000001,0.1158205,0.11588999999999999,0.00014497584615287432,0.12518253188482312,0.0006917891941920695,0.11550812500000004,0.11611912499999996,0.10734500000000001,0.11079699999999999,0.1092495,0.1086215,0.1091985,0.11024075,0.0011250888136985812,1.0298342909565545,0.0057701208014682035,0.10619262499999998,0.112669625
gesummv*,0.004344000000000001,0.005239000000000001,0.004866968750000001,0.00464375,0.0049055,0.00510175,0.00029080727287961243,5.97512102126426,0.03334760631296429,0.00395675,0.0057887500000000005,1e-06,0.006595,0.0043983125,0.0032270000000000003,0.005978000000000001,0.006452,0.002402472522584638,54.62259724802724,0.2836261776533614,-0.0016104999999999995,0.011289500000000001,0.002866,0.0055320000000000005,0.0048606875,0.00465275,0.0052085,0.00533475,0.0007549268897522248,15.53127802913116,0.07722431883349837,0.0036297499999999993,0.0063577500000000006
mvt*,0.006556,0.011482,0.009847468750000001,0.008859,0.01014,0.0110915,0.0014200463641766384,14.420420112291682,0.07878164677471049,0.00551025,0.014440250000000002,0.047241,0.047653,0.0474595,0.047370499999999996,0.047490000000000004,0.047555,0.0001222435432690323,0.25757444403972285,0.0014479039365142923,0.04709374999999999,0.047831750000000006,0.003597,0.011725,0.009793125,0.00920675,0.01014,0.01127075,0.001882954965798653,19.227314731494317,0.09982529197779054,0.00611075,0.01436675
