name,benchmark_name,tags,parameters_names,best_score,Mflops,T0,T1,T2,DIV0,DIV1,DIV2,T3,DIV3,D1_MIN_VOL,Parameters
fdtd-2d,fdtd-2d,pluto:static,"['T0', 'T1', 'T2']",0.671083,85180.5290850759,32,32,16,,,,,,,32x32x16
fdtd-2d,fdtd-2d,pluto:dynamic,"['T0', 'T1', 'T2']",0.770487,74191.0051694577,128,128,8,,,,,,,128x128x8
fdtd-2d.tpz,fdtd-2d,tpz:pesto,"['DIV0', 'DIV1', 'DIV2']",0.625489,91389.6247575897,,,,32,64,16,,,,32:64:16
heat-3d,heat-3d,pluto:static,"['T0', 'T1', 'T2', 'T3']",1.715631,135735.341690608,8,4,2,,,,256,,,8x4x2x256
heat-3d,heat-3d,pluto:dynamic,"['T0', 'T1', 'T2', 'T3']",1.784073,130528.15663933,16,16,4,,,,256,,,4x32x16x16
heat-3d.tpz,heat-3d,tpz:pesto,"['DIV0', 'DIV1', 'DIV2', 'DIV3']",2.00592,116092.246949031,,,,4,32,16,,16,,4:32:16:16
jacobi-1d,jacobi-1d,pluto:static,"['T0', 'T1', 'T2']",0.000653,36735.0689127106,128,128,256,,,,,,,128x128
jacobi-1d,jacobi-1d,pluto:dynamic,"['T0', 'T1', 'T2']",0.000665,36072.1804511278,128,128,256,,,,,,,128x128
jacobi-1d.tpz,jacobi-1d,tpz:pesto,"['DIV0', 'DIV1']",0.000482,49767.6348547718,,,,256,8,,,,,256:8
jacobi-2d,jacobi-2d,pluto:static,"['T0', 'T1', 'T2']",0.402066,194714.400123363,2,32,512,,,,,,,2x32x512
jacobi-2d,jacobi-2d,pluto:dynamic,"['T0', 'T1', 'T2']",0.652693,119946.192160786,32,32,64,,,,,,,32x32x64
jacobi-2d.tpz,jacobi-2d,tpz:pesto,"['DIV0', 'DIV1', 'DIV2']",0.275272,284402.481908803,,,,32,64,256,,,,32:64:256
seidel-2d,seidel-2d,pluto:static,"['T0', 'T1', 'T2']",2.830131,50830.1686388369,2,16,4,,,,,,,2x16x4
seidel-2d,seidel-2d,pluto:dynamic,"['T0', 'T1', 'T2']",3.087445,46593.8781095696,4,16,4,,,,,,,4x16x4
seidel-2d.tpz,seidel-2d,tpz:pesto,"['DIV0', 'DIV2', 'D1_MIN_VOL']",2.349051,61240.0650305166,,,,4,,4,,,172210,4:?:4
