benchmark,time_pesto,tile_sizes_pesto,time_hybrid,tile_sizes_hybrid,trahrhe_time,trahrhe_time_hybrid
correlation,0.085421,32:2:128,0.087541,32:256:4,0.000186,0.000082
covariance,0.083303,32:2:128,0.088707,32:512:4,0.000186,0.000064
gemm,0.083055,32:16:256,0.072729,32:128:8,0.000255,0.000024
gemver,0.01334,256:16,0.010948,256:32,0.000042,0.000031
gesummv,0.006276,256:32,0.005364,128:256,0.000103,0.000048
syr2k,0.204506,128:16:64,0.202518,32:256:32,0.000802,0.000022
syrk,0.137074,64:16:256,0.131873,256:16:16,0.001704,0.000024
trmm,0.048007,64:8:128,0.044502,64:256:8,0.000397,0.000023
2mm,0.104104,32:32:64,0.082776,32:32:64,0.00017,0.000022
3mm,0.161297,32:32:64,0.134659,32:64:32,0.000257,0.000039
atax,0.002416,256:16,0.00268,256:4,0.000051,0.000041
bicg,0.002429,512:8,0.002721,256:4,0.000052,0.000041
mvt,0.011031,16:128,0.008297,16:64,0.000024,0.000013
