N,exact,dicho,gist_exact,gist_dicho
100,0.001173,0.000254,0.001175,0.000236
200,0.003936,0.000556,0.003958,0.000531
300,0.008588,0.001051,0.008569,0.000995
400,0.014941,0.001768,0.01489,0.001676
500,0.023024,0.002618,0.023019,0.002809
600,0.032983,0.003805,0.032716,0.00364
700,0.044383,0.005198,0.0449,0.005247
800,0.05847,0.006762,0.058734,0.006547
900,0.073228,0.008497,0.073195,0.008134
1000,0.090563,0.010519,0.091073,0.010326
2000,0.358915,0.045351,0.359114,0.044052
3000,0.798839,0.107247,0.80678,0.103127
4000,1.432704,0.191128,1.430123,0.192866
5000,2.233227,0.312489,2.240503,0.297636
10000,8.973368,1.325503,8.896283,1.270937
