benchmark,time_pesto,tile_sizes_pesto,time_pluto_dynamic,tile_sizes_pluto_dynamic,time_pluto_static,tile_sizes_pluto_static,speedup_pesto_vs_pluto_static,speedupv2_pesto_vs_pluto_static,speedup_pesto_vs_pluto_dynamic,speedupv2_pesto_vs_pluto_dynamic,problem_size
correlation,0.080802,32;2;256,0.08241,32x64x16,0.15991,32x64x32,0.4947032705897067,1.9790351723967228,0.0195121951219512,1.0199004975124377,M=2600 N=3000
covariance,0.084733,32;2;128,0.076604,32x128x16,0.148394,32x64x16,0.4289998247907597,1.751312947729928,-0.10611717403790921,0.9040633519408023,M=2600 N=3000
gemm*,0.072599,32;128;8,0.083454,64x128x8,0.08016,64x128x8,0.09432385229540917,1.1041474400473836,0.13007165624176198,1.14951996583975,NI=2000 NJ=2300 NK=2600
gemver*,0.009292,64;4;8,0.009479,8x8x4,0.00893,4x128x32,-0.040537513997760295,0.961041756349548,0.019727819390231004,1.0201248385708135,N=4000
gesummv,0.003271,32;2;64,0.003522,128x64x4,0.00335,32x32x128,0.023582089552238828,1.0241516355854479,0.07126632595116408,1.0767349434423723,N=2800
syr2k*,0.193484,64;128;32,0.210296,8x4x16,0.271267,32x64x32,0.2867396329077993,1.4020125695147918,0.07994445923840691,1.0868909057079656,M=2000 N=2600
syrk,0.134775,32;8;256,0.135519,8x8x8,0.172444,32x32x8,0.21844192897404366,1.2794954553886104,0.00549000509153694,1.0055203116304952,M=2000 N=2600
trmm*,0.041643,64;32;4,0.05259,128x32x2,0.044352,32x64x8,0.06107954545454552,1.065052950075643,0.208157444381061,1.2628773143145307,M=2000 N=2600
2mm*,0.089709,32;32;64,0.100817,64x64x128,0.099906,64x64x128,0.10206594198546633,1.1136675249974919,0.11017983078250698,1.1238225819037109,NI=1600 NJ=1800 NK=2200 NL=2400
3mm*,0.136522,32;64;32,0.164528,64x64x32,0.154952,64x64x32,0.11894005885693634,1.1349965573314191,0.17022026645920452,1.2051390984603214,NI=1600 NJ=1800 NK=2000 NL=2200 NM=2400
atax*,0.002052,128;8;2,0.002185,8x8x64,0.002199,4x4x128,0.06684856753069576,1.0716374269005848,0.06086956521739125,1.0648148148148147,M=1800 N=2200
bicg*,0.00204,128;16;64,0.002173,8x2x16,0.002209,4x2x2,0.07650520597555449,1.0828431372549019,0.06120570639668655,1.0651960784313725,M=1800 N=2200
mvt,0.007633,32;128;256,0.009257,8x4x2,0.009279,128x64x32,0.17738980493587678,1.215642604480545,0.17543480609268658,1.2127603825494562,N=4000
